Line#,Date,"Temperature (SD-TEMP 22460444:22460444-2),°F,Campus Bioassay Lab","RH (MX-RH-2 22460444:22460444-3),%,Campus Bioassay Lab","Light Intensity (MX-AL 22460444:22460444-4),lum/sqf,Campus Bioassay Lab","Dew Point (SD-TEMP 22460444:22460444-6),°F,Campus Bioassay Lab","Temperature (SD-TEMP 22460443:22460443-2),°C,Farm Basement GH,","RH (MX-RH-2 22460443:22460443-3),%,Farm Basement GH,","Light Intensity (MX-AL 22460443:22460443-4),Lux,Farm Basement GH,","Dew Point (SD-TEMP 22460443:22460443-6),°C,Farm Basement GH,"
141,26-08-03 05:59:01 +0000,,,,,26.353,55.6,69,16.78
142,26-08-03 06:04:01 +0000,,,,,26.266,55.72,69,16.732
143,26-08-03 06:09:01 +0000,,,,,26.185,55.83,69,16.69
144,26-08-03 06:14:01 +0000,,,,,26.113,55.96,69,16.658
145,26-08-03 06:19:01 +0000,,,,,26.043,56.1,69,16.632
146,26-08-03 06:24:01 +0000,,,,,25.978,56.07,69,16.562
147,26-08-03 06:29:01 +0000,,,,,25.917,56.24,69,16.555
148,26-08-03 06:34:01 +0000,,,,,25.857,56.39,69,16.543
149,26-08-03 06:39:01 +0000,,,,,25.801,56.52,69,16.526
150,26-08-03 06:44:01 +0000,,,,,25.745,56.65,69,16.508
151,26-08-03 06:49:01 +0000,,,,,25.689,56.78,69,16.492
152,26-08-03 06:54:01 +0000,,,,,25.638,56.93,69,16.488
153,26-08-03 06:59:01 +0000,,,,,25.623,56.94,69,16.475
154,26-08-03 07:04:01 +0000,,,,,25.873,56.58,69,16.608
155,26-08-03 07:09:01 +0000,,,,,26.288,56.03,69,16.842
156,26-08-03 07:14:01 +0000,,,,,26.699,55.16,69,16.978
157,26-08-03 07:19:01 +0000,,,,,26.782,54.59,69,16.889
158,26-08-03 07:24:01 +0000,,,,,26.605,54.52,69,16.704
159,26-08-03 07:29:01 +0000,,,,,26.488,54.61,69,16.624
160,26-08-03 07:34:01 +0000,,,,,26.372,54.7,69,16.542
161,26-08-03 07:39:01 +0000,,,,,26.275,54.83,69,16.489
162,26-08-03 07:44:01 +0000,,,,,26.188,54.9,69,16.426
163,26-08-03 07:49:01 +0000,,,,,26.106,55.06,69,16.396
164,26-08-03 07:54:01 +0000,,,,,26.029,55.18,69,16.359
165,26-08-03 07:59:01 +0000,,,,,25.958,55.29,69,16.324
166,26-08-03 08:04:01 +0000,,,,,25.891,55.41,69,16.296
167,26-08-03 08:09:01 +0000,,,,,25.824,55.59,69,16.286
168,26-08-03 08:14:01 +0000,,,,,25.758,55.75,69,16.27
169,26-08-03 08:19:01 +0000,,,,,25.695,55.84,69,16.235
170,26-08-03 08:24:01 +0000,,,,,25.64,56.07,69,16.248
171,26-08-03 08:29:01 +0000,,,,,25.576,56.16,69,16.215
172,26-08-03 08:34:01 +0000,,,,,25.66,56.07,69,16.269
173,26-08-03 08:39:01 +0000,,,,,26.086,55.59,69,16.529
174,26-08-03 08:44:01 +0000,,,,,26.401,54.93,69,16.635
175,26-08-03 08:49:01 +0000,,,,,26.782,54.19,69,16.774
176,26-08-03 08:54:01 +0000,,,,,26.689,53.82,69,16.58
177,26-08-03 08:59:01 +0000,,,,,26.547,53.82,69,16.448
178,26-08-03 09:04:01 +0000,,,,,26.424,53.9,69,16.356
179,26-08-03 09:09:01 +0000,,,,,26.31,54,69,16.282
180,26-08-03 09:14:01 +0000,,,,,26.218,54.04,69,16.207
181,26-08-03 09:19:01 +0000,,,,,26.122,54.21,69,16.169
182,26-08-03 09:24:01 +0000,,,,,26.043,54.38,69,16.143
183,26-08-03 09:29:01 +0000,,,,,25.967,54.5,69,16.108
184,26-08-03 09:34:01 +0000,,,,,25.895,54.7,69,16.097
185,26-08-03 09:39:01 +0000,,,,,25.824,54.85,69,16.074
186,26-08-03 09:44:01 +0000,,,,,25.754,55.07,69,16.073
187,26-08-03 09:49:01 +0000,,,,,25.692,55.18,69,16.046
188,26-08-03 09:54:01 +0000,,,,,25.629,55.39,69,16.049
189,26-08-03 09:59:01 +0000,,,,,25.567,55.56,69,16.037
190,26-08-03 10:04:01 +0000,,,,,25.728,55.3,69,16.115
191,26-08-03 10:09:01 +0000,,,,,26.153,54.84,69,16.377
192,26-08-03 10:14:01 +0000,,,,,26.528,54.19,69,16.538
193,26-08-03 10:19:01 +0000,,,,,26.747,53.5,69,16.538
194,26-08-03 10:24:01 +0000,,,,,26.632,53.26,69,16.363
195,26-08-03 10:29:01 +0000,,,,,26.488,53.29,69,16.237
196,26-08-03 10:34:01 +0000,,,,,26.363,53.36,69,16.144
197,26-08-03 10:39:01 +0000,,,,,26.256,53.48,69,16.08
198,26-08-03 10:44:01 +0000,,,,,26.157,53.65,69,16.038
199,26-08-03 10:49:01 +0000,,,,,26.066,53.76,69,15.984
200,26-08-03 10:54:01 +0000,,,,,25.988,53.9,69,15.955
201,26-08-03 10:59:01 +0000,,,,,25.909,54.04,69,15.921
202,26-08-03 11:04:01 +0000,,,,,25.835,54.21,69,15.9
203,26-08-03 11:09:01 +0000,,,,,25.76,54.49,69,15.913
204,26-08-03 11:14:01 +0000,,,,,25.687,54.7,69,15.906
205,26-08-03 11:19:01 +0000,,,,,25.622,54.73,69,15.853
206,26-08-03 11:24:01 +0000,,,,,25.582,54.88,70,15.858
207,26-08-03 11:29:01 +0000,,,,,25.804,54.75,70,16.027
208,26-08-03 11:34:01 +0000,,,,,26.229,54.32,69,16.299
209,26-08-03 11:39:01 +0000,,,,,26.542,53.74,70,16.421
210,26-08-03 11:44:01 +0000,,,,,26.761,53.21,70,16.465
211,26-08-03 11:49:01 +0000,,,,,26.58,53.13,70,16.274
212,26-08-03 11:54:01 +0000,,,,,26.447,53.17,70,16.163
213,26-08-03 11:59:01 +0000,,,,,26.325,53.28,71,16.083
214,26-08-03 12:04:01 +0000,,,,,26.218,53.29,71,15.988
215,26-08-03 12:09:01 +0000,,,,,26.121,53.48,71,15.953
216,26-08-03 12:14:01 +0000,,,,,26.034,53.62,71,15.915
217,26-08-03 12:19:01 +0000,,,,,25.952,53.8,71,15.89
218,26-08-03 12:24:01 +0000,,,,,25.88,53.98,71,15.876
219,26-08-03 12:29:01 +0000,,,,,25.807,54.15,70,15.859
220,26-08-03 12:34:01 +0000,,,,,25.736,54.34,71,15.847
221,26-08-03 12:39:01 +0000,,,,,25.67,54.55,71,15.847
222,26-08-03 12:44:01 +0000,,,,,25.605,54.74,71,15.839
223,26-08-03 12:49:01 +0000,,,,,25.771,54.83,71,16.021
224,26-08-03 12:54:01 +0000,,,,,26.128,54.59,71,16.283
225,26-08-03 12:59:01 +0000,,,,,26.476,54.17,71,16.486
226,26-08-03 13:04:01 +0000,,,,,26.721,53.69,71,16.571
227,26-08-03 13:09:01 +0000,,,,,26.583,53.53,72,16.397
228,26-08-03 13:14:01 +0000,,,,,26.429,53.55,71,16.26
229,26-08-03 13:19:01 +0000,,,,,26.317,53.6,71,16.17
230,26-08-03 13:24:01 +0000,,,,,26.211,53.75,71,16.115
231,26-08-03 13:29:01 +0000,,,,,26.119,53.89,72,16.072
232,26-08-03 13:34:01 +0000,,,,,26.035,54.04,72,16.037
233,26-08-03 13:39:01 +0000,,,,,25.958,54.18,71,16.006
234,26-08-03 13:44:01 +0000,,,,,25.888,54.33,73,15.985
235,26-08-03 13:49:01 +0000,,,,,25.818,54.53,73,15.978
236,26-08-03 13:54:01 +0000,,,,,25.752,54.73,72,15.974
237,26-08-03 13:59:01 +0000,,,,,25.693,54.91,73,15.969
238,26-08-03 14:04:01 +0000,,,,,25.632,55.08,73,15.963
239,26-08-03 14:09:01 +0000,,,,,25.582,55.21,73,15.953
240,26-08-03 14:14:01 +0000,,,,,25.534,55.42,73,15.966
241,26-08-03 14:19:01 +0000,,,,,25.725,55.72,73,16.229
242,26-08-03 14:24:01 +0000,,,,,26.092,55.48,73,16.503
243,26-08-03 14:29:01 +0000,,,,,26.488,55,73,16.734
244,26-08-03 14:34:01 +0000,,,,,26.698,54.63,73,16.823
245,26-08-03 14:39:01 +0000,,,,,26.577,54.32,73,16.62
246,26-08-03 14:44:01 +0000,,,,,26.449,54.36,73,16.514
247,26-08-03 14:49:01 +0000,,,,,26.333,54.41,73,16.42
248,26-08-03 14:54:01 +0000,,,,,26.249,54.49,74,16.367
249,26-08-03 14:59:01 +0000,,,,,26.16,54.64,75,16.326
250,26-08-03 15:04:01 +0000,,,,,26.084,54.62,75,16.25
251,26-08-03 15:09:01 +0000,,,,,26.016,54.63,72,16.189
252,26-08-03 15:14:01 +0000,,,,,25.95,54.82,75,16.185
253,26-08-03 15:19:01 +0000,,,,,25.894,55.02,75,16.187
254,26-08-03 15:24:01 +0000,,,,,25.844,55.14,71,16.175
255,26-08-03 15:29:01 +0000,,,,,25.792,55.2,150,16.145
256,26-08-03 15:34:01 +0000,,,,,25.686,55.59,147,16.157
257,26-08-03 15:39:01 +0000,,,,,25.626,55.5,148,16.076
258,26-08-03 15:44:01 +0000,,,,,25.562,55.85,154,16.115
259,26-08-03 15:49:01 +0000,,,,,25.532,55.22,157,15.91
260,26-08-03 15:54:01 +0000,,,,,25.496,55.17,153,15.861
261,26-08-03 15:59:01 +0000,,,,,25.669,55.52,158,16.12
262,26-08-03 16:04:01 +0000,,,,,26.023,55.3,151,16.388
263,26-08-03 16:09:01 +0000,,,,,26.304,55.04,141,16.575
